Card ID,Title,Name,Backstory,Category,Condition Description,Digital Challenges,Assistive Technologies,Design Considerations,AI Prompt,Clinical Examples,AI Prompt URL
40,Fatigue (Situational),Camille,"Camille, 51, white, owns a home and cares for an elderly parent. Completes financial tasks late at night after long caregiving days, with limited energy and focus.",Intersectional,"End-of-day exhaustion, caregiving demands, illness recovery, or burnout reduce a person's capacity to process complex tasks. Fatigued users make more errors, abandon sessions sooner, and need low-effort, forgiving interfaces that do not punish mistakes.","Long forms, multi-step confirmation flows, and interfaces that do not save progress punish users whose available energy is limited. A task abandoned midway due to exhaustion may not be returned to. When design assumes sustained attention and effort, it fails users at the moments they are most vulnerable.","Voice control, autofill and password managers, text-to-speech",Reduce required inputs using autofill and pre-fill. Show users how much effort remains with a visible progress indicator. Allow tasks to be paused and resumed without data loss at any point in the workflow.,"You are designing and building a digital product for users experiencing situational fatigue. Review the interface and: Identify workflows that cannot be paused and resumed. Implement autosave throughout all multi-step tasks. Minimize required inputs by pre-filling known information. Provide forgiving error recovery that does not clear entered data. Validate WCAG 2.2 AA compliance for 2.2.1, 3.3.1, and 3.3.7. Return: 1. Effort and complexity barriers 2. Autosave and task resumption patterns 3. Input minimization recommendations 4. Engineering fixes for low-effort, recoverable workflows","Situational context. Also associated with caregiver burnout, shift work disorder, and postpartum fatigue.",https://fyvr.net/prompts.html#fatigue-situational
39,Device Constraints,Nadira,"Nadira, 33, Somali American, shares a phone with her spouse. Uses an older Android device to manage household finances and file taxes for their small family business.",Intersectional,"Older phones, low-memory devices, and small screens are common in lower-income and global markets. People using constrained devices need lightweight, responsive experiences that do not require the latest hardware to access essential features.","Heavy animations, large image assets, and JavaScript-dependent interactions can render a product unusable on older or low-memory devices. When essential features require the latest hardware or a fast connection, the product excludes users in lower-income and global markets who are often most in need of accessible financial tools.","Built-in screen readers, keyboard navigation, OS accessibility settings",Use responsive single-column layouts for small screens. Avoid heavy animations and large asset loads on key task screens. Test all critical tasks at 320px viewport width and ensure core functionality works without the latest browser features.,"You are designing and building a digital product for users on constrained devices. Review the interface and: Identify JavaScript-heavy interactions that fail on low-memory devices. Optimize image and asset loading. Ensure core tasks are completable at 320px viewport width. Avoid animations that consume CPU unnecessarily. Validate WCAG 2.2 AA compliance for 1.4.4, 1.4.10, and 2.5.5. Return: 1. Performance and rendering risks 2. Asset optimization strategies 3. Responsive layout recommendations 4. Engineering fixes for lightweight experiences",Situational and socioeconomic. Common in lower-income and global market contexts.,https://fyvr.net/prompts.html#device-constraints
38,Bright Light Usage,Kofi,"Kofi, 40, Ghanaian American, rents a market stall and works outdoors. Uses his phone to invoice customers and check his business account throughout the day in direct sunlight.",Intersectional,"Reading a screen in direct sunlight, a bright office, or a high-glare environment reduces visibility for everyone. People who primarily use devices outdoors or in high-ambient-light settings depend on strong contrast, legible typography, and glare-resilient design.","Low contrast interfaces, light gray text on white backgrounds, and designs that rely on subtle visual cues become completely unreadable in direct sunlight or high-glare environments. Without high contrast mode or a dark mode option, outdoor and bright-environment users are effectively excluded from completing tasks on the go.","High contrast mode, dark mode, screen brightness controls","Ensure all text meets WCAG AA contrast ratios at minimum. Support dark mode and high contrast mode as first-class options, not afterthoughts. Avoid light gray on white and other low-contrast combinations throughout the interface.","You are designing and building a digital product for users in bright light or high-glare environments. Review the interface and: Identify text and UI elements relying on low contrast or subtle color differences. Ensure all text meets WCAG AA contrast ratios. Support high contrast mode and dark mode as first-class options. Use bold, legible typography at sufficient size. Validate WCAG 2.2 AA compliance for 1.4.3, 1.4.6, and 1.4.11. Return: 1. Contrast and visibility risks 2. High contrast and dark mode patterns 3. Typography recommendations 4. Engineering fixes for glare-resilient UI","Situational context. Also associated with photophobia, migraines, and post-surgical light sensitivity.",https://fyvr.net/prompts.html#bright-light
37,Low Bandwidth,Marisol,"Marisol, 24, Latina, lives in a rural mobile home with inconsistent internet access. Manages her household budget on a prepaid phone with a limited data plan.",Intersectional,"Unreliable or slow internet access is a daily reality for people in rural areas, lower-income households, or regions with poor infrastructure. Bandwidth constraints shape what is usable, making performance and progressive loading a core accessibility concern.","Pages that do not load, images that block text rendering, and interactions that time out under slow connections turn a routine task into an unreliable experience. When there is no offline fallback or graceful degradation, users on low bandwidth connections lose access entirely rather than experiencing a reduced but functional version.","Offline-capable browsers, data-saving browser modes, screen readers",Load core content and interactive components first before non-essential assets. Avoid autoplay video and large background images on key task screens. Ensure the interface remains functional and usable even when images fail to load.,You are designing and building a digital product for users with low bandwidth or unstable internet. Review the interface and: Identify resources that block rendering before interaction is possible. Implement progressive loading so core content is available immediately. Provide graceful degradation when assets fail to load. Support offline or cached states for key tasks. Validate WCAG 2.2 AA compliance for 2.2.1 and performance best practices. Return: 1. Render-blocking and heavy asset risks 2. Progressive loading and degradation patterns 3. Offline and retry state recommendations 4. Engineering fixes for bandwidth-resilient experiences,"Situational and socioeconomic. Common in rural, lower-income, and developing-region contexts.",https://fyvr.net/prompts.html#low-bandwidth
32,Low Literacy,Clarence,"Clarence, 58, Black, rents a house in a rural community. Left school early to support his family and now uses mobile banking to manage his income for the first time.",Intersectional,"Reading financial content at a high literacy level is not universally possible. People managing low literacy, due to education, disability, or language background, need plain language, visual support, and clear step-by-step guidance to complete tasks with confidence.","Long paragraphs, multi-clause instructions, and forms with unexplained fields create barriers that plain language would remove. When error messages do not explain what went wrong in simple terms, recovering from a mistake becomes as difficult as the original task. Visual support and short sentences make a measurable difference.","Text-to-speech, symbol-based AAC tools, screen readers","Use plain language at Grade 8 level or below throughout. Pair all labels with icons to reinforce meaning. Break instructions into one-idea-per-sentence format and avoid jargon in error messages, field labels, and confirmations.","You are designing and building a digital product for users with low literacy needs. Review the interface and: Identify content written above a Grade 8 reading level. Rewrite instructions, labels, and errors in plain language. Support text-to-speech for all content. Use icons and visual cues alongside text. Validate WCAG 2.2 AA compliance for 3.1.3, 3.1.5, and 3.3.2. Return: 1. Reading complexity and jargon risks 2. Plain language recommendations 3. Visual support and iconography patterns 4. Engineering fixes for readable, scannable content","Situational and educational. Associated with limited formal education, dyslexia, and language barriers.",https://fyvr.net/prompts.html#low-literacy
31,Non-Native Speaker,Ernie,"Ernie, 48, Chinese American, owns his home with his family. Navigates financial products primarily in English, his second language, often under time pressure.",Intersectional,"Navigating a financial product in a second language requires more cognitive effort, especially under pressure. Complex terminology, idioms, and dense instructions create real barriers for people whose primary language differs from the product's default language.","Financial jargon, idiomatic error messages, and instructions written at a high reading level all compound the difficulty of completing tasks in a second language. When translation tools alter layout or truncate labels, the interface can become harder to use than the language itself.","Translation and localization tools, text-to-speech, screen readers","Use plain, jargon-free language in all labels and error messages. Set the correct lang attribute on the HTML element. Test all layouts with translated strings, which are often 30 to 50 percent longer than English source text.","You are designing and building a digital product for users whose primary language differs from the product default. Review the interface and: Identify idioms, culturally specific references, and untranslatable jargon. Ensure all UI labels and errors translate accurately without truncation. Set the correct lang attribute on the HTML element. Test layouts with translated strings that may be significantly longer. Validate WCAG 2.2 AA compliance for 3.1.1 and 3.1.2. Return: 1. Language and localization risks 2. Translation-safe label patterns 3. Layout recommendations for variable text length 4. Engineering fixes for multilingual and RTL support","Situational and linguistic. Relevant across ESL, immigrant, and multilingual populations.",https://fyvr.net/prompts.html#non-native-speaker
30,One-Handed Use,Aaliyah,"Aaliyah, 29, Black, lives in a transitional housing program with her toddler. Often uses her phone one-handed while managing her child and household finances simultaneously.",Intersectional,"Holding a phone while managing a child, an injury, or a physical task is a daily reality for many people. Interfaces that require two-handed gestures or simultaneous inputs create barriers for anyone operating with one hand, permanently or situationally.","Pinch-to-zoom, two-finger swipe, and interactions requiring simultaneous touch inputs all fail when only one hand is available. Navigation elements clustered at the top of a screen become unreachable during single-handed mobile use. Tasks designed for two hands create unnecessary friction for a very large portion of everyday users.","Voice control, switch access, keyboard navigation",Place primary actions within the lower thumb zone on mobile. Size all touch targets to minimum 44x44px. Ensure every interaction has a single-tap alternative and avoid requiring simultaneous touch inputs at any point in the flow.,You are designing and building a digital product for users operating with one hand. Review the interface and: Identify interactions requiring simultaneous inputs or two-finger gestures. Position primary actions within the thumb-reachable zone. Provide single-tap alternatives for every multi-input interaction. Avoid long-press as the only trigger for important actions. Validate WCAG 2.2 AA compliance for 2.5.1 and 2.5.4. Return: 1. Two-handed interaction risks 2. Thumb-zone and single-tap patterns 3. Gesture alternative recommendations 4. Engineering fixes for single-input operability,"Situational context. Also associated with hemiplegia, stroke recovery, and limb difference.",https://fyvr.net/prompts.html#one-handed-use
29,Temporary Injury,Hyun-ji,"Hyun-ji, 36, Korean American, rents an apartment with a roommate. Broke her dominant wrist and is using voice control to manage her finances during recovery.",Intersectional,"A broken wrist, eye surgery recovery, or repetitive strain injury temporarily changes how someone interacts with technology. These users need the same accessible alternatives available to permanent disability users, just discovered in an urgent, unexpected moment.","A broken wrist or post-surgery hand means standard mouse and keyboard use may be unavailable for weeks. Most people in this situation have never used voice control or keyboard-only navigation before. When onboarding for assistive tools is unclear, the product becomes inaccessible exactly when it is needed most.","Voice control, keyboard navigation, switch access",Ensure all tasks are keyboard and voice operable from day one. Use visible focus indicators so keyboard position is always clear. Provide guidance to keyboard shortcuts for users encountering alternative navigation for the first time.,"You are designing and building a digital product for users with a temporary injury affecting standard input. Review the interface and: Ensure all tasks are completable by keyboard only or voice control. Identify interactions assuming two-handed or fine motor input. Provide clear onboarding for alternative input methods. Ensure focus order is logical and all elements are reachable by Tab. Validate WCAG 2.2 AA compliance for 2.1.1, 2.1.2, and 2.5.1. Return: 1. Input dependency risks 2. Keyboard and voice navigation patterns 3. Alternative input onboarding recommendations 4. Engineering fixes for mouse-independent task completion","Wrist fracture, repetitive strain injury (RSI), post-surgical recovery, concussion",https://fyvr.net/prompts.html#temporary-injury
21,Anxiety,Elizabeth,"Elizabeth, 41, white British, rents a flat in London. Works in tech and manages generalized anxiety, especially when navigating financial products with unclear consequences.",Mental Health,"High-stakes financial tasks compound existing anxiety. Unclear error messages, irreversible actions, ambiguous confirmations, and unpredictable system behavior all increase stress responses. Design that communicates clearly, confirms before acting, and reduces uncertainty directly lowers the cognitive and emotional cost of task completion.","Alarming error language, unclear consequences of actions, and interfaces that do not confirm what just happened all increase anxiety. People with anxiety need to feel in control and informed at every step, and design that withholds clarity amplifies distress unnecessarily.","Screen readers, keyboard navigation, focus mode browser extensions","Use calm, factual language in all error messages and confirmations. Require explicit confirmation before destructive actions using a modal or confirmation dialog. Provide clear feedback after every action so users always know the current system state.","You are designing and building a digital product for people with anxiety in high-stakes financial contexts. Review the interface and: Identify error messages using alarming or ambiguous language. Ensure every destructive action requires explicit confirmation. Provide clear feedback after every user action. Use calm, plain, non-threatening language throughout. Validate WCAG 2.2 AA compliance for 3.3.1, 3.3.4, and 3.2.1. Return: 1. Alarming language and uncertainty risks 2. Confirmation and feedback patterns 3. Calm microcopy recommendations 4. Engineering fixes for predictable, low-pressure interactions","Generalized anxiety disorder (GAD), social anxiety disorder, health anxiety, PTSD",https://fyvr.net/prompts.html#anxiety
23,Bipolar Disorder,Simone,"Simone, 35, Black, rents an apartment and works as a freelance writer. Manages bipolar disorder and needs financial interfaces that support both high-energy and low-energy days.",Mental Health,"Mood episodes affect energy, concentration, impulsivity, and risk tolerance in ways that shift over time. During depressive phases, low motivation and cognitive slowing make complex tasks difficult. During manic phases, impulsive decisions need guardrails. Consistent design, confirmation steps, and undo functionality support safe, autonomous use.","Interfaces that allow irreversible financial actions without confirmation steps create real risk during manic episodes. During depressive episodes, the same person may struggle to initiate or complete those same tasks. Design must support both states without requiring the user to self-identify either.","Screen readers, keyboard navigation, reminder apps","Require confirmation for all high-value financial actions. Provide undo where possible. Keep workflows completable in short sessions with autosave protecting all partially completed work, supporting both high-energy and low-energy interaction modes.","You are designing and building a digital product for people with bipolar disorder. Review the interface and: Require explicit confirmation for all high-value or irreversible financial actions. Provide undo or reversal options wherever feasible. Break complex workflows into small, manageable steps. Ensure autosave protects partially completed work. Validate WCAG 2.2 AA compliance for 2.2.1, 3.3.4, and 3.2.2. Return: 1. Impulsivity and irreversibility risks 2. Confirmation and undo patterns 3. Low-effort workflow recommendations 4. Engineering guardrails for high-stakes financial actions","Bipolar I disorder, Bipolar II disorder, cyclothymic disorder",https://fyvr.net/prompts.html#bipolar-disorder
24,Depression,Tariq,"Tariq, 30, South Asian, rents a room in a shared house. Starts financial tasks regularly but rarely finishes them, especially during low-motivation periods.",Mental Health,"Low energy, reduced motivation, and difficulty concentrating are not barriers to intent, they are barriers to completion. Long workflows, repetitive inputs, and high error costs create conditions where tasks are started but not finished. Streamlined flows, autosave, and plain encouraging language reduce the effort required to succeed.","Multi-page workflows, re-entry of previously submitted information, and interfaces with no visible sense of progress all increase the effort required to push through. For people with depression, the gap between intending to complete a task and actually finishing it is where design can help most.","Screen readers, text-to-speech, autofill and password managers","Reduce steps to the minimum needed. Use progress indicators to show visible momentum through a task. Use encouraging, non-shaming language in error messages and avoid patterns that require significant effort to recover from mistakes.","You are designing and building a digital product for people with depression. Review the interface and: Identify workflows requiring more steps than necessary. Implement autosave so sessions can be resumed without data loss. Show visible progress indicators throughout multi-step flows. Use plain, encouraging language that does not shame errors. Validate WCAG 2.2 AA compliance for 2.2.1, 3.3.1, and 3.3.7. Return: 1. Effort and motivation barriers 2. Progress and autosave patterns 3. Encouraging microcopy recommendations 4. Engineering fixes for streamlined, low-effort task completion","Major depressive disorder (MDD), persistent depressive disorder (dysthymia), postpartum depression",https://fyvr.net/prompts.html#depression
22,Panic Disorder,Devon,"Devon, 26, mixed race, lives with family while saving to move out. Avoids financial platforms that feel urgent or overwhelming, often abandoning tasks mid-session.",Mental Health,"A panic attack can occur without warning and end a session immediately. Interfaces that feel urgent, use alarming error language, or present too much information at once can trigger or escalate distress. Calm, predictable, and low-pressure design patterns create safer conditions for task completion.","Countdown timers, urgent warning messages, and high-density screens can escalate physical and psychological distress rapidly. People with panic disorder need interfaces that communicate without urgency, provide clear exits, and never make a user feel trapped or rushed into a decision.","Screen readers, keyboard navigation, focus mode browser extensions",Remove countdown timers and urgency-inducing language. Ensure every screen has a clearly visible way to exit or go back. Offer session extension before timeouts occur rather than ending the session abruptly without warning.,"You are designing and building a digital product for people with panic disorder. Review the interface and: Remove or replace countdown timers and urgency-inducing UI patterns. Ensure every screen has a clear, visible exit or back path. Use calm, measured language in all system messages. Provide session extension options before any timeout. Validate WCAG 2.2 AA compliance for 2.2.1, 2.2.4, and 3.3.4. Return: 1. Urgency and pressure trigger risks 2. Calm interaction and exit patterns 3. Microcopy tone improvements 4. Engineering fixes for low-pressure, escapable flows",Panic disorder with or without agoraphobia,https://fyvr.net/prompts.html#panic-disorder
